   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    41224    0.063    0.000    0.151    0.000 types.py:32(__ne__)
11825/11779    0.021    0.000    0.150    0.000 manager.py:24(lookup)
    40303    0.090    0.000    0.141    0.000 values.py:240(function_type)
        9    0.000    0.000    0.135    0.015 codegen.py:197(add_llvm_module)
       98    0.001    0.000    0.134    0.001 lowering.py:718(lower_expr)
     6760    0.013    0.000    0.134    0.000 fromnumeric.py:382(repeat)
    20280    0.131    0.000    0.131    0.000 {method 'ravel' of 'numpy.ndarray' objects}
        4    0.000    0.000    0.130    0.033 compiler.py:372(stage_analyze_bytecode)
        4    0.000    0.000    0.130    0.032 compiler.py:841(translate_stage)
        4    0.002    0.000    0.130    0.032 interpreter.py:80(interpret)
    12442    0.038    0.000    0.129    0.000 weakref.py:393(__getitem__)
        4    0.000    0.000    0.128    0.032 context.py:1(<module>)
        1    0.000    0.000    0.127    0.127 add_newdocs.py:10(<module>)
     4079    0.006    0.000    0.125    0.000 ir.py:291(list_vars)
       81    0.001    0.000    0.124    0.002 fromnumeric.py:2854(mean)
       81    0.002    0.000    0.124    0.002 _methods.py:53(_mean)
      780    0.011    0.000    0.124    0.000 instructions.py:174(set_weights)
    13520    0.123    0.000    0.123    0.000 {method 'repeat' of 'numpy.ndarray' objects}
       44    0.000    0.000    0.119    0.003 controlflow.py:109(process)
       40    0.004    0.000    0.119    0.003 analysis.py:205(compute_cfg_from_blocks)
        4    0.000    0.000    0.119    0.030 callwrapper.py:101(build)
32626/30035    0.071    0.000    0.118    0.000 abstract.py:110(__hash__)
        4    0.000    0.000    0.117    0.029 callwrapper.py:126(build_wrapper)
        1    0.000    0.000    0.116    0.116 special.py:1(<module>)
       27    0.000    0.000    0.115    0.004 base.py:251(refresh)
        2    0.113    0.056    0.113    0.056 {built-in method numpy.core.multiarray.concatenate}
        1    0.000    0.000    0.112    0.112 decorators.py:3(<module>)
        3    0.000    0.000    0.110    0.037 registry.py:1(<module>)
        4    0.000    0.000    0.109    0.027 removerefctpass.py:86(remove_unnecessary_nrt_usage)
       70    0.000    0.000    0.107    0.002 base.py:1042(__call__)
    10119    0.041    0.000    0.106    0.000 instructions.py:391(descr)
        1    0.000    0.000    0.105    0.105 rules.py:1(<module>)
        2    0.001    0.001    0.103    0.052 removerefctpass.py:24(_rewrite_function)
        2    0.001    0.001    0.102    0.051 transforms.py:10(visit_Function)
     1441    0.017    0.000    0.101    0.000 transforms.py:15(visit_BasicBlock)
        1    0.000    0.000    0.101    0.101 rules.py:16(_init_casting_rules)
       40    0.000    0.000    0.100    0.003 castgraph.py:122(insert_rule)
        1    0.000    0.000    0.099    0.099 type_check.py:3(<module>)
       40    0.015    0.000    0.098    0.002 castgraph.py:95(propagate)
       12    0.000    0.000    0.096    0.008 objmode.py:436(builtin_lookup)
        2    0.000    0.000    0.094    0.047 caching.py:640(load_overload)
        1    0.000    0.000    0.093    0.093 cpu.py:1(<module>)
      353    0.004    0.000    0.087    0.000 <frozen importlib._bootstrap_external>:743(get_code)
      198    0.002    0.000    0.086    0.000 lowering.py:931(storevar)
      812    0.012    0.000    0.086    0.000 module.py:47(add_metadata)
    22220    0.035    0.000    0.084    0.000 transforms.py:37(visit_Instruction)
       40    0.000    0.000    0.083    0.002 numeric.py:83(zeros_like)
    20410    0.049    0.000    0.083    0.000 values.py:527(__iter__)
       40    0.082    0.002    0.082    0.002 {built-in method numpy.core.multiarray.copyto}
  822/792    0.003    0.000    0.081    0.000 templates.py:205(apply)
      240    0.079    0.000    0.079    0.000 {method 'dot' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.076    0.076 config.py:1(<module>)
       14    0.000    0.000    0.075    0.005 nrtopt.py:147(remove_redundant_nrt_refct)
        9    0.001    0.000    0.075    0.008 codegen.py:105(_optimize_functions)
        2    0.000    0.000    0.075    0.037 base.py:1(<module>)
        8    0.003    0.000    0.073    0.009 registry.py:56(apply)
32293/32270    0.050    0.000    0.073    0.000 types.py:129(__eq__)
  397/394    0.002    0.000    0.072    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
