   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.007    0.007 tempfile.py:24(<module>)
       17    0.000    0.000    0.007    0.000 sre_parse.py:844(parse)
    70/17    0.001    0.000    0.007    0.000 sre_compile.py:64(_compile)
        1    0.000    0.000    0.007    0.007 main.py:1(<module>)
        1    0.000    0.000    0.007    0.007 __init__.py:24(<module>)
     1543    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
        1    0.000    0.000    0.006    0.006 random.py:38(<module>)
      264    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:263(cache_from_source)
        1    0.000    0.000    0.006    0.006 __init__.py:15(<module>)
    34/17    0.000    0.000    0.006    0.000 sre_parse.py:407(_parse_sub)
        9    0.000    0.000    0.006    0.001 __init__.py:357(namedtuple)
        1    0.000    0.000    0.006    0.006 traceback.py:1(<module>)
        1    0.000    0.000    0.006    0.006 shutil.py:5(<module>)
    38/17    0.002    0.000    0.006    0.000 sre_parse.py:470(_parse)
        1    0.000    0.000    0.005    0.005 linecache.py:6(<module>)
        1    0.000    0.000    0.005    0.005 index_tricks.py:1(<module>)
      278    0.002    0.000    0.005    0.000 function_base.py:4533(add_newdoc)
      687    0.001    0.000    0.005    0.000 enum.py:265(__call__)
      287    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:403(cached)
      657    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
        1    0.000    0.000    0.004    0.004 tokenize.py:21(<module>)
        1    0.000    0.000    0.004    0.004 runner.py:1(<module>)
        1    0.000    0.000    0.004    0.004 numerictypes.py:82(<module>)
        1    0.000    0.000    0.004    0.004 core.py:21(<module>)
        1    0.000    0.000    0.004    0.004 cnn.py:1(<module>)
      133    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:830(get_data)
      155    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:361(_get_cached)
        1    0.000    0.000    0.004    0.004 string.py:15(<module>)
      480    0.001    0.000    0.004    0.000 numeric.py:424(asarray)
        1    0.000    0.000    0.004    0.004 signals.py:1(<module>)
       40    0.002    0.000    0.004    0.000 loss.py:5(softmax)
        1    0.000    0.000    0.004    0.004 pickle.py:24(<module>)
        1    0.000    0.000    0.004    0.004 string.py:65(__init__)
      172    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:147(__enter__)
        1    0.000    0.000    0.003    0.003 polynomial.py:4(<module>)
        1    0.000    0.000    0.003    0.003 hashlib.py:54(<module>)
        1    0.000    0.000    0.003    0.003 __init__.py:88(<module>)
